launch_angle,exit_velocity,hit_distance_sc,spray_angle,game_type,is_hit
21.0,73.4,241.0,1.3264141468544757,RS,1
48.0,62.4,180.0,-0.7495767897469413,RS,0
12.0,104.4,297.0,-15.287314758007268,RS,1
61.0,76.7,163.0,-1.5645076439361438,RS,0
1.0,80.1,43.0,-25.245567357166188,RS,0
18.0,70.1,170.0,-22.716792840710628,RS,1
-5.0,96.9,22.0,-21.64280032374692,RS,0
-14.0,103.8,8.0,14.01687851741029,RS,0
76.0,91.6,55.0,25.873212971826085,RS,0
-6.0,110.1,19.0,-2.679199001403036,RS,1
-16.0,93.8,8.0,-13.805393052221088,RS,0
-26.0,64.0,5.0,23.85048062915732,RS,0
69.0,79.0,140.0,-43.49213006615378,RS,0
9.0,104.0,209.0,-5.6180810200711555,RS,1
42.0,80.4,266.0,9.6003227132441,RS,0
-7.0,93.8,17.0,17.186054308138097,RS,1
0.0,78.0,39.0,35.65384642041964,RS,0
17.0,105.7,341.0,-6.46651172382597,RS,1
-5.0,72.8,25.0,19.73778179132764,RS,0
15.0,101.0,315.0,0.6720731386497376,RS,0
-17.0,63.9,7.0,-27.076185473879875,RS,0
-41.0,87.4,3.0,-29.445521549819972,RS,0
38.0,93.5,323.0,-20.091756578993795,RS,0
-1.0,83.9,40.0,21.861871429938095,RS,1
-9.0,102.0,11.0,-22.751461399314923,RS,1
7.0,101.2,191.0,12.034874113071115,RS,1
26.0,91.1,339.0,11.243479320073114,RS,1
-5.0,98.6,21.0,-27.00155464942631,RS,0
44.0,82.2,249.0,12.324484414304703,RS,0
63.0,77.3,168.0,47.33315422050504,RS,0
37.0,94.1,318.0,-17.088020718017084,RS,0
17.0,105.3,328.0,-22.524431526401173,RS,0
26.0,103.5,411.0,13.68695911401237,RS,1
-27.0,66.2,6.0,31.824990354359677,RS,0
30.0,96.0,379.0,0.7919402232702488,RS,0
19.0,101.0,335.0,-12.878984789168188,RS,0
26.0,68.9,219.0,11.169585603391397,RS,1
-42.0,39.0,4.0,-24.656081270412443,RS,0
3.0,84.4,65.0,22.573323478084202,RS,0
45.0,81.3,253.0,-7.6441958425348,RS,0
9.0,93.3,126.0,-27.589242678681828,RS,0
4.0,74.4,57.0,-11.561814564977542,RS,0
13.0,94.4,240.0,30.58039508301304,RS,1
-13.0,97.2,5.0,-24.7819554874283,RS,0
-39.0,39.9,3.0,33.45721949367328,RS,0
29.0,101.0,389.0,-13.840907570848026,RS,1
-46.0,46.9,2.0,-13.867059356442386,RS,0
76.0,84.2,80.0,30.256649520669157,RS,0
-60.0,76.2,1.0,-22.476565695922506,RS,0
-18.0,65.8,9.0,8.536683867696638,RS,0
21.0,76.6,216.0,-31.963996253322662,RS,1
28.0,98.4,390.0,14.283737159911645,RS,1
-11.0,88.9,12.0,4.8118134906804455,RS,0
23.0,107.9,404.0,17.50342462946073,RS,1
43.0,57.9,170.0,-22.437457850818827,RS,1
40.0,87.0,312.0,1.149773042086685,RS,0
17.0,99.7,312.0,-19.55546739158216,RS,0
-8.0,106.6,15.0,-8.768642515929034,RS,1
41.0,49.9,130.0,-37.15950213061407,RS,1
5.0,91.4,107.0,5.493194586016953,RS,0
36.0,88.9,315.0,-17.48855007099408,RS,0
10.0,96.9,146.0,34.01939580275461,RS,0
3.0,77.1,51.0,20.73949905689183,RS,0
-12.0,92.5,7.0,24.828397118946043,RS,0
7.0,78.8,102.0,18.58241594895579,RS,0
51.0,93.1,263.0,-20.873307881200095,RS,0
18.0,83.2,221.0,22.636149321919262,RS,1
26.0,79.0,269.0,-3.3923625916097007,RS,0
54.0,70.7,178.0,-6.106431460450411,RS,0
34.0,93.1,349.0,5.335047709830444,RS,0
-5.0,96.4,18.0,30.27991526272465,RS,1
-4.0,101.6,23.0,34.844587016244176,RS,0
18.0,90.8,246.0,30.9474818828364,RS,1
64.0,89.3,180.0,-40.81669289293848,RS,0
18.0,103.5,348.0,-18.403235520368867,RS,1
-8.0,92.0,19.0,12.488352087144495,RS,1
31.0,96.6,369.0,7.060748680039351,RS,0
27.0,101.3,375.0,20.06860674099858,RS,1
30.0,91.2,352.0,6.2831656839149055,RS,0
-20.0,100.3,5.0,-9.081896233407122,RS,0
19.0,90.1,279.0,3.5212505938375913,RS,1
-56.0,67.6,2.0,-23.876677539535947,RS,1
54.0,88.5,214.0,15.045934915054596,RS,0
4.0,105.5,105.0,-17.275207666766963,RS,0
-6.0,81.7,18.0,25.086630806908744,RS,1
54.0,94.0,219.0,6.421992790393876,RS,0
32.0,96.3,364.0,31.11271305075362,RS,1
72.0,92.3,106.0,8.983185733326764,RS,0
5.0,72.3,64.0,11.318104300167331,RS,0
27.0,75.1,253.0,-5.596321780164243,RS,1
34.0,93.5,331.0,29.016851241447743,RS,0
14.0,77.1,191.0,-6.960008095502661,RS,1
32.0,91.2,342.0,-33.19957961755961,RS,1
-26.0,85.3,4.0,-27.30761857417876,RS,1
9.0,81.9,117.0,27.15106191540226,RS,1
10.0,101.9,243.0,-13.864495415354884,RS,1
-4.0,86.6,25.0,24.70622239076929,RS,1
5.0,97.3,97.0,-12.283596470220361,RS,0
24.0,98.9,371.0,11.942895803749947,RS,0
-36.0,23.8,2.0,-17.660299021726306,RS,0
8.0,95.4,135.0,1.6531125748686941,RS,1
-1.0,68.5,21.0,20.310874059759165,RS,0
24.0,96.1,320.0,-33.8733104894245,RS,1
65.0,58.1,97.0,-41.71524146101001,RS,0
12.0,60.3,103.0,-4.487437369975825,RS,0
-17.0,97.5,6.0,-16.97304095090591,RS,0
8.0,89.3,110.0,13.923944328971526,RS,1
38.0,107.0,395.0,23.129784977781615,RS,1
-19.0,95.7,4.0,19.853025328548437,RS,0
40.0,86.5,310.0,31.079854813089067,RS,0
1.0,96.8,57.0,26.44850942706458,RS,0
-2.0,92.5,33.0,33.64059164141224,RS,0
6.0,102.9,169.0,21.84818776959859,RS,1
-19.0,90.9,6.0,-25.233561280681975,RS,0
-15.0,90.6,7.0,33.91158798731612,RS,0
61.0,73.8,156.0,-22.43183173672483,RS,0
2.0,98.4,63.0,3.981064353146029,RS,0
21.0,104.4,382.0,24.61439759646303,RS,1
1.0,84.4,44.0,17.478059798060677,RS,0
-12.0,103.8,10.0,-0.2017806553915686,RS,0
-3.0,100.1,31.0,-14.614234573333139,RS,0
-7.0,101.1,18.0,-15.737543555997178,RS,0
37.0,82.8,306.0,32.79294370428721,RS,0
3.0,105.5,67.0,-33.3037210268791,RS,1
51.0,63.6,176.0,12.387234192166023,RS,0
39.0,91.7,305.0,29.387145491051037,RS,0
23.0,94.8,334.0,8.784545439176568,RS,0
-22.0,63.9,6.0,25.784916663585406,RS,0
28.0,81.7,277.0,-7.51297966250642,RS,0
30.0,87.3,310.0,-27.46124224373723,RS,0
47.0,86.7,270.0,-14.693121938600948,RS,0
37.0,85.7,299.0,-19.017154198636927,RS,0
-12.0,94.8,9.0,36.291087471199575,RS,0
10.0,82.2,157.0,22.84430391049634,RS,1
49.0,80.2,217.0,4.896278685183,RS,0
27.0,99.4,381.0,6.132849275449113,RS,0
3.0,75.7,54.0,36.396241008312195,RS,1
60.0,62.3,134.0,-2.9710262664352696,RS,0
55.0,91.9,244.0,-22.6062861669514,RS,0
32.0,102.6,383.0,-29.389563085329044,RS,1
33.0,103.1,381.0,32.9981824949176,RS,1
-5.0,89.2,24.0,30.198203949235417,RS,0
-15.0,97.6,10.0,-23.07373348913136,RS,0
14.0,105.9,292.0,14.765088711649957,RS,1
-9.0,65.5,10.0,-9.275995496152964,RS,0
41.0,98.8,343.0,-18.545411235905487,RS,0
-6.0,97.9,18.0,21.819751161564078,RS,0
6.0,82.9,85.0,-27.09493901160161,RS,0
-6.0,97.9,13.0,-5.747702793833123,RS,1
59.0,80.1,169.0,32.193434525177274,RS,0
20.0,90.9,284.0,26.73406275162744,RS,0
3.0,104.3,76.0,-26.66286367148435,RS,0
82.0,86.6,15.0,99.83660946897626,RS,0
5.0,106.3,111.0,11.705952214362872,RS,1
